time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-23T14:40:15.920Z,17.9423333333333,-66.9463333333333,10.32,2.84,md,4,218,0.097,0.07,pr,pr71425598,2023-09-23T14:59:33.980Z,"5 km SW of Guánica, Puerto Rico",earthquake,1.08,1.88,0.0556874450236085,3,reviewed,pr,pr
2023-09-23T14:37:18.265Z,56.2465,-156.5515,35.1,2.8,ml,,,,0.51,ak,ak023c85icsx,2023-09-23T15:48:04.040Z,"114 km E of Chignik, Alaska",earthquake,,24.8,,,automatic,ak,ak
2023-09-23T14:24:34.344Z,17.1564,96.0875,10,4.8,mb,54,56,3.012,0.87,us,us7000kxn3,2023-09-24T13:44:52.369Z,"39 km N of Yangon, Myanmar",earthquake,3.39,1.869,0.072,59,reviewed,us,us
2023-09-23T11:12:51.151Z,64.4787,-146.9353,10.4,3.9,ml,,,,0.83,ak,ak023c83krjp,2023-09-24T09:14:50.517Z,"5 km SSW of Salcha, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2023-09-23T09:10:04.855Z,-10.6388,165.8511,187.562,4.5,mb,39,154,9.97,0.6,us,us7000kxm3,2023-09-23T09:30:10.040Z,"11 km NNE of Lata, Solomon Islands",earthquake,12.41,7.717,0.093,34,reviewed,us,us
2023-09-23T08:22:21.510Z,37.8688,36.3652,4.124,4.5,mb,36,47,0.289,0.96,us,us7000kxls,2023-09-23T12:17:15.443Z,"Central Turkey",earthquake,6.09,3.201,0.124,19,reviewed,us,us
2023-09-23T08:16:44.987Z,57.4687,-152.5708,52.5,3,ml,,,,0.3,ak,ak023c81tb81,2023-09-23T08:25:12.955Z,"23 km SW of Chiniak, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-09-23T07:26:09.690Z,37.5253334,-118.8355026,3.22,2.79,md,24,136,0.06478,0.03,nc,nc73940601,2023-09-23T07:48:30.893Z,"14 km WSW of Toms Place, CA",earthquake,0.4,0.84,0.12,29,automatic,nc,nc
2023-09-23T05:29:26.310Z,62.4206,-151.1023,87.1,2.5,ml,,,,0.37,ak,ak023c803r72,2023-09-23T05:40:23.040Z,"19 km WSW of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-09-23T03:39:17.990Z,19.2011666666667,-155.495,32.97,2.73,ml,51,69,,0.11,hv,hv73583612,2023-09-23T04:09:45.080Z,"1 km W of Pāhala, Hawaii",earthquake,0.43,0.55,0.171578282923476,36,reviewed,hv,hv
2023-09-23T03:05:33.995Z,18.1703,-76.5981,10,3,ml,5,225,0.892,0.92,us,us7000kxkz,2023-09-23T18:17:49.513Z,"4 km SW of Hope Bay, Jamaica",earthquake,5.29,2.016,0.148,6,reviewed,us,us
2023-09-23T02:20:15.944Z,-5.4749,131.3712,61.98,4.3,mb,25,133,1.741,0.92,us,us7000kxkl,2023-09-23T04:21:43.040Z,"153 km W of Tual, Indonesia",earthquake,8.44,8.416,0.142,14,reviewed,us,us
2023-09-23T02:13:00.074Z,-19.7981,-69.2978,105.127,4.4,mb,31,86,0.162,0.49,us,us7000kxkk,2023-09-23T03:37:51.287Z,"Tarapaca, Chile",earthquake,2.96,4.488,0.126,19,reviewed,us,us
2023-09-23T02:09:01.492Z,-24.3076,-67.131,171.206,4.4,mb,28,57,1.657,1,us,us7000kxkj,2023-09-23T02:29:06.040Z,"83 km W of San Antonio de los Cobres, Argentina",earthquake,6.8,9.996,0.179,10,reviewed,us,us
2023-09-23T01:49:14.938Z,50.5603,156.5319,108.206,4.5,mb,84,124,2.653,0.48,us,us7000kxkh,2023-09-23T02:19:09.040Z,"31 km ESE of Severo-Kuril’sk, Russia",earthquake,10.44,7.183,0.045,142,reviewed,us,us
2023-09-23T00:48:19.811Z,31.6474,-104.4044,6.597,2.6,ml,23,109,0.085,0.38,us,us7000kxka,2023-09-23T01:08:36.040Z,"",earthquake,1.88,1.814,0.05,52,reviewed,us,us
2023-09-22T23:39:31.397Z,37.4734,73.2354,85.69,4.3,mb,20,109,2.297,0.67,us,us7000kxju,2023-09-23T00:31:17.040Z,"99 km NE of Khandūd, Afghanistan",earthquake,4.06,11.245,0.177,9,reviewed,us,us
2023-09-22T23:31:24.971Z,44.9163,144.2981,246.766,4,mb,52,148,1.457,0.41,us,us7000kxjt,2023-09-23T00:15:11.040Z,"97 km NE of Mombetsu, Japan",earthquake,10.6,7.913,0.082,40,reviewed,us,us
2023-09-22T22:49:46.141Z,50.2558,179.5058,32.8,2.8,ml,,,,0.45,ak,ak023c6mt4on,2023-09-23T01:30:12.090Z,"",earthquake,,1.5,,,reviewed,ak,ak
2023-09-22T22:13:50.776Z,-18.8642,-174.2541,129.835,4.9,mb,41,75,0.322,0.69,us,us7000kxjb,2023-09-22T23:02:09.181Z,"36 km SW of Neiafu, Tonga",earthquake,10.11,4.396,0.062,81,reviewed,us,us
2023-09-22T21:54:59.020Z,57.0774,-154.4949,19.1,3.4,ml,,,,0.38,ak,ak023c6m8rn0,2023-09-22T23:18:10.476Z,"24 km NW of Akhiok, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2023-09-22T20:19:47.147Z,-22.264,-68.6764,127.757,4.5,mb,30,95,0.701,1.05,us,us7000kxip,2023-09-22T21:11:56.040Z,"33 km NE of Calama, Chile",earthquake,6.09,5.641,0.131,18,reviewed,us,us
2023-09-22T20:15:58.071Z,32.683,-100.698,7.2142,3.9,ml(texnet),27,54,0,0.2,tx,tx2023spwx,2023-09-23T20:19:28.732Z,"7 km NE of Hermleigh, Texas",earthquake,0.9104395718,1.231227779,0.2,20,reviewed,tx,tx
2023-09-22T20:06:30.048Z,51.4683,-179.1587,64.6,3.8,ml,,,,0.51,ak,ak023c6lczmt,2023-09-22T23:14:47.641Z,"180 km WSW of Adak, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-09-22T19:31:28.110Z,51.2518,100.26,10.284,4.3,mb,39,42,2.16,0.75,us,us7000kxi8,2023-09-22T21:06:21.040Z,"39 km SW of Turt, Mongolia",earthquake,6.94,2.836,0.095,35,reviewed,us,us
2023-09-22T19:13:40.573Z,43.3373,138.9871,219.462,4.1,mb,66,64,2.728,0.59,us,us7000kxi2,2023-09-22T20:59:32.040Z,"117 km WNW of Suttsu, Japan",earthquake,7.96,8.031,0.072,57,reviewed,us,us
2023-09-22T18:51:55.609Z,35.53883333,-96.75333333,7.91,2.97,ml,100,35,0.1169770451,0.21,ok,ok2023spud,2023-09-22T20:57:15.933Z,"8 km NW of Prague, Oklahoma",earthquake,,0.5,0.21,24,reviewed,ok,ok
2023-09-22T18:03:14.430Z,37.3110008,-122.0713348,6.68,2.84,md,70,65,0.02823,0.13,nc,nc73940346,2023-09-24T09:51:47.323Z,"4 km WSW of Cupertino, CA",earthquake,0.17,0.38,0.1,105,automatic,nc,nc
